﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/12/15 00:48:16,38.26,22.08,13,4.2,1.0 χμ Β του Αιγίου
﻿2021/11/01 11:30:13,38.33,22.63,95,4.0,24.3 χμ ΔΝΔ της Λειβαδιάς
﻿2021/05/27 18:39:04,38.35,21.73,11,4.0,11.8 χμ Β της Πάτρας
﻿2021/02/17 03:36:06,38.36,21.95,6,5.0,17.1 χμ ΒΔ του Αιγίου
﻿2020/12/23 00:22:31,38.35,21.76,10,4.1,11.9 χμ ΒΒΑ της Πάτρας
﻿2019/03/30 10:46:19,38.35,22.30,13,5.4,20.6 χμ ΝΝΔ της Αμφισσας
﻿2017/07/15 03:05:14,38.34,22.03,4,4.0,11.5 χμ ΒΒΔ του Αιγίου
﻿2017/07/15 01:22:02,38.34,21.99,4,4.1,12.8 χμ ΒΔ του Αιγίου
﻿2017/04/05 15:43:29,38.32,21.77,14,4.5,8.7 χμ ΒΒΑ της Πάτρας
﻿2017/01/10 12:44:52,38.32,21.72,4,4.2,8.6 χμ Β της Πάτρας
﻿2017/01/09 09:53:16,38.34,21.72,3,4.5,10.4 χμ Β της Πάτρας
﻿2014/11/07 17:12:59,38.30,22.11,19,4.8,6.2 χμ ΒΒΑ του Αιγίου
﻿2014/09/21 00:43:39,38.36,21.84,17,4.5,15.8 χμ ΒΑ της Πάτρας
﻿2014/06/25 09:21:41,38.35,21.74,22,4.2,11.7 χμ Β της Πάτρας
﻿2014/06/08 15:10:50,38.33,22.05,15,4.1,9.5 χμ ΒΒΔ του Αιγίου
﻿2014/02/07 01:21:53,38.30,21.71,20,4.2,6.5 χμ ΒΒΔ της Πάτρας
﻿2013/04/28 04:49:55,38.26,22.25,55,4.2,14.7 χμ Α του Αιγίου
﻿2012/09/21 15:21:21,38.35,22.02,14,4.0,12.5 χμ ΒΒΔ του Αιγίου
﻿2011/12/29 15:19:35,38.34,22.03,14,4.0,11.1 χμ ΒΒΔ του Αιγίου
﻿2011/07/28 09:18:09,38.31,21.79,18,4.2,8.8 χμ ΒΒΑ της Πάτρας
﻿2010/01/30 13:47:38,38.33,22.34,24,4.4,21.9 χμ Ν της Αμφισσας
﻿2009/10/02 22:27:18,38.33,22.85,24,4.1,11.9 χμ Ν της Λειβαδιάς
﻿2009/06/07 09:00:05,38.31,22.02,13,4.2,8.7 χμ ΒΔ του Αιγίου
﻿2007/12/15 14:41:43,38.35,22.17,68,4.1,13.6 χμ ΒΑ του Αιγίου
﻿2006/05/05 06:16:08,38.28,22.63,22,4.3,27.4 χμ ΝΔ της Λειβαδιάς
﻿2005/05/29 08:55:35,38.26,22.73,104,4.4,23.2 χμ ΝΝΔ της Λειβαδιάς
﻿2004/04/28 07:26:58,38.32,21.82,15,4.1,11.2 χμ ΒΑ της Πάτρας
﻿2003/10/31 02:33:10,38.33,21.82,16,4.0,12.1 χμ ΒΑ της Πάτρας
﻿2001/12/24 20:55:44,38.36,21.76,5,4.4,13.0 χμ Β της Πάτρας
﻿2001/05/16 16:51:56,38.29,21.50,24,4.1,10.8 χμ ΝΑ του Μεσολογγίου
﻿1999/06/25 07:42:14,38.30,22.76,11,4.3,18.0 χμ ΝΝΔ της Λειβαδιάς
﻿1999/06/05 06:19:18,38.29,22.35,5,4.1,23.8 χμ Α του Αιγίου
﻿1999/02/02 14:27:51,38.30,21.74,5,4.1,6.2 χμ Β της Πάτρας
﻿1999/01/31 12:16:13,38.36,21.93,5,4.0,18.1 χμ ΒΔ του Αιγίου
