﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2019/12/08 22:41:14,35.18,23.84,4,4.3,39.8 χμ ΝΝΔ των Χανίων
﻿2019/12/07 14:46:58,35.18,23.84,6,4.4,40.3 χμ ΝΝΔ των Χανίων
﻿2019/12/07 14:34:56,35.08,23.80,15,4.0,51.8 χμ ΝΝΔ των Χανίων
﻿2019/12/06 08:45:40,35.19,23.85,8,4.5,38.9 χμ ΝΝΔ των Χανίων
﻿2019/01/01 11:40:04,34.63,23.81,12,4.6,100.1 χμ Ν των Χανίων
﻿2018/05/20 22:17:58,34.89,23.97,17,4.2,69.1 χμ Ν των Χανίων
﻿2018/03/12 12:35:29,34.63,23.59,10,4.2,105.2 χμ ΝΝΔ των Χανίων
﻿2018/01/07 04:05:13,35.11,23.67,6,4.0,54.4 χμ ΝΔ των Χανίων
﻿2017/12/13 07:30:07,34.77,23.78,23,4.9,85.3 χμ ΝΝΔ των Χανίων
﻿2017/12/09 18:12:57,34.69,23.76,28,4.0,94.2 χμ ΝΝΔ των Χανίων
﻿2017/08/18 03:46:51,34.91,24.04,10,4.1,64.4 χμ ΝΔ του Ρεθύμνου
﻿2016/03/12 12:40:39,35.36,23.55,12,4.9,45.4 χμ ΔΝΔ των Χανίων
﻿2016/03/06 23:18:15,35.40,23.59,17,4.0,40.5 χμ ΔΝΔ των Χανίων
﻿2012/09/12 03:27:43,34.71,24.02,26,5.5,83.6 χμ ΝΝΔ του Ρεθύμνου
﻿2012/03/08 07:00:31,34.79,23.94,30,4.2,80.1 χμ ΝΔ του Ρεθύμνου
﻿2011/12/09 08:14:00,34.73,23.94,30,4.4,85.6 χμ ΝΔ του Ρεθύμνου
﻿2010/10/25 07:40:44,34.93,23.54,23,4.4,77.8 χμ ΝΔ των Χανίων
﻿2005/09/12 19:20:32,34.72,24.02,32,4.0,82.6 χμ ΝΝΔ του Ρεθύμνου
﻿2005/06/14 07:31:46,35.14,23.98,12,4.3,41.5 χμ Ν των Χανίων
﻿2005/02/20 15:38:14,34.77,23.50,37,4.2,94.9 χμ ΝΝΔ των Χανίων
﻿2004/07/24 19:00:56,35.37,23.59,11,4.3,41.7 χμ ΔΝΔ των Χανίων
﻿2003/11/17 23:43:40,34.66,23.77,5,4.0,97.4 χμ ΝΝΔ των Χανίων
﻿2003/03/01 04:06:05,35.02,23.79,19,4.5,58.4 χμ ΝΝΔ των Χανίων
﻿2002/09/16 22:44:04,35.01,23.83,77,4.1,58.3 χμ ΝΝΔ των Χανίων
﻿2002/09/08 16:14:35,35.03,23.61,81,4.3,65.0 χμ ΝΔ των Χανίων
﻿2001/11/26 04:21:46,34.71,24.05,19,4.3,82.3 χμ ΝΝΔ του Ρεθύμνου
﻿2001/11/20 20:55:23,35.22,23.65,6,4.0,46.4 χμ ΝΔ των Χανίων
﻿2001/11/10 18:32:57,35.44,23.89,10,4.0,13.9 χμ ΝΔ των Χανίων
﻿2000/12/22 22:38:11,35.32,23.54,5,4.1,48.1 χμ ΔΝΔ των Χανίων
﻿2000/01/27 06:51:18,35.62,23.63,5,4.2,36.9 χμ ΔΒΔ των Χανίων
﻿1999/11/18 21:05:37,35.23,23.63,5,4.0,47.0 χμ ΝΔ των Χανίων
﻿1997/11/05 12:22:58,34.91,24.02,15,4.7,65.1 χμ ΝΔ του Ρεθύμνου
﻿1996/09/28 11:10:28,35.15,23.79,38,4.0,45.2 χμ ΝΝΔ των Χανίων
﻿1996/09/28 11:02:50,35.10,23.68,19,4.7,55.0 χμ ΝΝΔ των Χανίων
﻿1996/02/09 17:11:13,34.98,24.06,26,4.0,56.8 χμ ΝΔ του Ρεθύμνου
﻿1992/07/06 10:33:28,34.72,23.88,96,4.3,88.9 χμ Ν των Χανίων
﻿1992/02/17 10:19:24,35.15,23.88,50,4.1,42.1 χμ ΝΝΔ των Χανίων
