﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/05/19 11:18:15,38.00,26.93,24,4.2,26.8 χμ Β της Σάμου
﻿2021/01/20 23:37:56,37.87,26.75,10,4.4,23.5 χμ ΔΒΔ της Σάμου
﻿2020/12/30 13:40:12,37.80,26.41,13,4.3,31.9 χμ ΒΑ της Ικαρίας
﻿2020/11/11 06:49:45,37.81,26.96,16,4.2,6.2 χμ ΒΒΔ της Σάμου
﻿2020/11/03 20:35:36,37.87,26.43,16,4.0,39.1 χμ ΒΑ της Ικαρίας
﻿2020/11/02 19:16:38,37.83,26.48,13,4.3,38.9 χμ ΒΑ της Ικαρίας
﻿2020/11/02 11:58:03,37.88,26.92,17,4.1,14.8 χμ ΒΒΔ της Σάμου
﻿2020/11/01 07:33:07,37.82,26.92,10,4.2,8.5 χμ ΒΔ της Σάμου
﻿2020/10/31 14:42:43,37.87,26.46,16,4.2,40.8 χμ ΒΑ της Ικαρίας
﻿2020/10/31 05:31:29,37.82,26.80,12,4.7,17.0 χμ ΔΒΔ της Σάμου
﻿2020/10/31 01:40:30,37.83,26.53,7,4.2,40.0 χμ ΔΒΔ της Σάμου
﻿2020/10/30 22:53:21,37.80,26.71,11,4.2,23.5 χμ Δ της Σάμου
﻿2020/10/30 19:09:41,37.85,26.43,13,4.1,37.8 χμ ΒΑ της Ικαρίας
﻿2020/10/30 15:19:18,37.85,26.78,22,4.5,19.9 χμ ΔΒΔ της Σάμου
﻿2020/10/30 15:14:56,37.82,26.87,15,5.0,12.2 χμ ΒΔ της Σάμου
﻿2020/10/30 14:46:06,37.92,26.85,10,4.3,21.7 χμ ΒΒΔ της Σάμου
﻿2020/10/30 13:00:44,37.84,26.79,25,4.6,19.0 χμ ΔΒΔ της Σάμου
﻿2020/10/30 12:33:22,37.78,26.73,27,4.0,21.5 χμ Δ της Σάμου
﻿2020/10/30 12:22:49,37.90,26.97,12,4.1,15.4 χμ Β της Σάμου
﻿2020/10/30 12:19:10,37.77,26.47,10,4.0,34.2 χμ ΒΑ της Ικαρίας
﻿2020/10/30 12:04:44,37.90,26.35,16,4.3,39.0 χμ ΒΒΑ της Ικαρίας
﻿2020/10/30 11:51:24,37.90,26.82,12,6.7,21.2 χμ ΒΔ της Σάμου
﻿2020/07/16 18:09:25,38.37,26.77,8,4.2,55.5 χμ Α της Χίου
﻿2020/01/04 22:11:29,37.91,26.38,14,4.0,40.5 χμ ΒΒΑ της Ικαρίας
﻿2019/08/08 08:39:08,38.02,26.91,15,4.7,29.7 χμ ΒΒΔ της Σάμου
﻿2017/06/16 09:46:29,38.25,26.51,19,4.3,35.4 χμ ΑΝΑ της Χίου
﻿2016/10/17 01:30:30,37.89,26.91,28,4.4,15.9 χμ ΒΒΔ της Σάμου
﻿2015/10/23 18:29:39,37.92,26.58,12,4.1,39.3 χμ ΔΒΔ της Σάμου
﻿2010/03/26 19:25:36,38.19,26.23,27,4.1,21.4 χμ ΝΝΑ της Χίου
﻿2010/03/26 18:35:52,38.18,26.18,25,4.7,21.2 χμ Ν της Χίου
﻿2008/03/01 07:01:08,37.88,26.77,22,4.1,22.7 χμ ΒΔ της Σάμου
﻿2007/11/11 03:23:30,38.24,26.49,27,4.0,34.0 χμ ΑΝΑ της Χίου
﻿2007/11/07 21:36:40,38.27,26.55,31,4.0,37.7 χμ ΑΝΑ της Χίου
﻿2006/04/13 16:18:35,38.19,26.50,20,4.0,37.4 χμ ΑΝΑ της Χίου
﻿2005/11/16 05:41:16,38.14,26.48,13,4.0,39.3 χμ ΝΑ της Χίου
﻿2005/11/05 15:27:13,38.14,26.61,26,4.0,48.5 χμ ΑΝΑ της Χίου
﻿2005/10/31 06:48:22,38.13,26.66,26,4.0,49.9 χμ ΒΒΔ της Σάμου
﻿2005/10/31 05:26:39,38.12,26.66,27,4.7,49.0 χμ ΒΔ της Σάμου
﻿2005/10/29 19:49:29,38.20,26.77,24,4.1,52.5 χμ ΒΒΔ της Σάμου
﻿2005/10/29 14:48:41,38.13,26.52,16,4.2,42.7 χμ ΝΑ της Χίου
﻿2005/10/23 14:59:38,38.13,26.70,30,4.1,48.0 χμ ΒΒΔ της Σάμου
﻿2005/10/21 11:47:36,38.18,26.66,25,4.2,50.3 χμ ΑΝΑ της Χίου
﻿2005/10/21 01:19:11,38.19,26.71,27,4.0,53.5 χμ ΒΒΔ της Σάμου
﻿2005/10/20 23:16:50,38.21,26.79,25,4.0,52.9 χμ ΒΒΔ της Σάμου
﻿2005/10/20 22:15:55,38.21,26.74,26,4.0,54.5 χμ ΒΒΔ της Σάμου
﻿2005/10/20 21:44:01,38.19,26.65,19,4.3,49.0 χμ ΑΝΑ της Χίου
﻿2005/10/20 21:40:03,38.15,26.63,25,5.6,49.5 χμ ΑΝΑ της Χίου
﻿2005/10/19 10:11:30,38.18,26.70,25,4.3,52.9 χμ ΒΒΔ της Σάμου
﻿2005/10/18 16:00:48,38.15,26.65,30,4.2,51.0 χμ ΑΝΑ της Χίου
﻿2005/10/17 14:53:21,38.19,26.93,18,4.0,48.3 χμ Β της Σάμου
﻿2005/10/17 13:22:49,38.16,26.64,30,4.0,49.7 χμ ΑΝΑ της Χίου
﻿2005/10/17 13:16:42,38.17,26.73,28,4.0,50.7 χμ ΒΒΔ της Σάμου
﻿2005/10/17 12:43:28,38.13,26.66,31,4.1,49.9 χμ ΒΒΔ της Σάμου
﻿2005/10/17 09:58:37,38.14,26.62,27,4.4,49.3 χμ ΑΝΑ της Χίου
﻿2005/10/17 09:55:30,38.14,26.60,29,4.0,47.8 χμ ΑΝΑ της Χίου
﻿2005/10/17 09:46:56,38.14,26.59,26,5.4,47.1 χμ ΑΝΑ της Χίου
﻿2005/10/17 08:34:45,38.12,26.54,25,4.1,44.8 χμ ΝΑ της Χίου
﻿2005/10/17 08:28:53,38.12,26.67,34,4.2,48.5 χμ ΒΒΔ της Σάμου
﻿2005/10/17 07:05:48,38.14,26.60,28,4.1,47.8 χμ ΑΝΑ της Χίου
﻿2005/10/17 06:16:05,38.15,26.67,30,4.0,51.3 χμ ΒΒΔ της Σάμου
﻿2005/10/17 05:59:21,38.15,26.82,37,4.0,45.8 χμ ΒΒΔ της Σάμου
﻿2005/10/17 05:45:18,38.13,26.59,29,5.5,47.7 χμ ΑΝΑ της Χίου
﻿2005/07/02 01:09:22,37.82,26.75,15,4.0,21.1 χμ ΔΒΔ της Σάμου
﻿2005/06/23 22:44:16,37.76,26.70,19,4.1,24.3 χμ Δ της Σάμου
﻿2005/01/29 18:52:27,38.13,26.93,35,4.6,41.7 χμ Β της Σάμου
﻿2003/04/17 22:34:22,38.19,26.90,5,5.0,48.6 χμ Β της Σάμου
﻿2003/04/10 00:53:49,38.16,26.92,34,4.1,45.1 χμ Β της Σάμου
﻿2003/04/10 00:40:16,38.17,26.76,29,5.3,49.7 χμ ΒΒΔ της Σάμου
﻿2001/03/01 13:31:20,37.87,26.64,18,4.1,32.1 χμ ΔΒΔ της Σάμου
﻿2000/01/06 15:51:12,37.94,26.10,5,4.0,40.1 χμ Β της Ικαρίας
﻿1998/07/09 17:36:48,37.87,26.74,11,4.4,24.3 χμ ΔΒΔ της Σάμου
﻿1996/05/20 09:09:16,38.19,26.92,6,4.1,48.4 χμ Β της Σάμου
﻿1996/04/02 07:59:24,37.92,26.67,5,4.9,32.5 χμ ΒΔ της Σάμου
﻿1993/05/31 05:37:00,37.79,26.94,39,4.0,4.9 χμ ΒΔ της Σάμου
﻿1992/11/06 19:22:15,38.26,26.73,1,4.1,53.2 χμ ΑΝΑ της Χίου
﻿1984/04/23 12:11:33,37.84,26.94,5,4.5,9.8 χμ ΒΒΔ της Σάμου
﻿1983/07/13 20:10:00,38.25,26.67,13,4.4,48.4 χμ ΑΝΑ της Χίου
﻿1983/06/01 14:44:30,38.36,26.51,5,4.4,32.6 χμ Α της Χίου
﻿1978/03/13 13:06:40,37.80,26.90,10,4.0,8.3 χμ ΒΔ της Σάμου
﻿1976/10/03 00:53:47,38.35,26.70,19,4.0,49.2 χμ Α της Χίου
﻿1972/10/23 09:56:22,37.80,26.30,10,4.2,26.8 χμ ΒΒΑ της Ικαρίας
﻿1969/01/05 14:31:43,38.20,26.20,10,4.1,19.5 χμ ΝΝΑ της Χίου
