﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2014/12/02 20:15:15,40.22,25.19,30,4.1,34.1 χμ Β της Λήμνου
﻿2014/05/24 09:25:01,40.29,25.40,28,6.3,22.9 χμ ΝΝΔ της Σαμοθράκης
﻿2011/10/13 14:44:41,40.24,25.30,29,4.2,32.1 χμ ΝΔ της Σαμοθράκης
﻿2007/05/03 05:41:14,40.24,25.12,24,4.0,37.6 χμ ΒΒΔ της Λήμνου
﻿2005/11/15 05:51:31,40.32,25.28,26,4.1,26.7 χμ ΝΔ της Σαμοθράκης
﻿2003/07/10 09:01:17,40.18,25.31,24,4.0,29.7 χμ Β της Λήμνου
﻿2003/06/12 00:10:39,40.22,25.18,33,4.0,34.3 χμ Β της Λήμνου
﻿2002/09/06 05:05:00,40.85,25.09,10,4.0,33.0 χμ ΑΒΑ της Θάσου
﻿2002/04/12 14:55:57,40.25,24.99,30,4.0,43.2 χμ ΒΒΔ της Λήμνου
﻿2001/09/26 01:29:36,40.30,25.23,38,4.0,31.4 χμ ΝΔ της Σαμοθράκης
﻿2000/05/20 04:43:02,40.30,25.35,37,4.0,24.2 χμ ΝΔ της Σαμοθράκης
﻿1995/11/27 19:30:30,40.25,25.21,22,4.0,36.3 χμ ΝΔ της Σαμοθράκης
﻿1995/04/18 05:36:27,40.96,25.37,5,4.1,18.2 χμ Ν της Κομοτηνής
﻿1994/03/10 15:41:47,40.33,25.36,37,4.2,21.0 χμ ΝΔ της Σαμοθράκης
﻿1989/09/05 06:52:32,40.15,25.07,20,4.9,30.1 χμ ΒΒΔ της Λήμνου
﻿1987/08/08 22:15:19,40.22,25.02,24,4.8,39.0 χμ ΒΒΔ της Λήμνου
﻿1986/11/03 18:44:05,40.31,25.26,36,4.0,28.7 χμ ΝΔ της Σαμοθράκης
﻿1985/01/05 22:20:42,40.85,25.40,5,4.3,30.3 χμ Ν της Κομοτηνής
﻿1984/11/20 09:49:35,40.33,24.95,22,4.0,51.0 χμ ΔΝΔ της Σαμοθράκης
﻿1983/09/01 05:47:37,40.58,25.19,16,4.0,30.5 χμ ΔΒΔ της Σαμοθράκης
﻿1983/08/24 19:53:38,40.47,25.08,6,4.0,37.4 χμ Δ της Σαμοθράκης
﻿1983/08/18 13:10:52,40.43,24.94,12,4.1,43.3 χμ ΝΝΑ της Θάσου
﻿1983/08/17 11:26:29,40.35,25.05,7,4.4,42.3 χμ ΔΝΔ της Σαμοθράκης
﻿1983/08/08 02:41:32,40.90,25.21,6,4.1,29.3 χμ ΝΝΔ της Κομοτηνής
﻿1983/03/12 04:10:56,40.39,24.94,16,4.0,47.3 χμ ΝΝΑ της Θάσου
﻿1983/03/11 22:55:50,40.44,24.98,38,4.2,44.0 χμ ΝΝΑ της Θάσου
﻿1982/09/11 10:54:05,40.50,25.40,10,4.4,10.8 χμ ΔΒΔ της Σαμοθράκης
﻿1982/06/20 13:57:09,40.40,25.40,10,4.0,13.2 χμ ΝΔ της Σαμοθράκης
﻿1967/05/09 02:39:57,40.50,25.00,10,4.1,39.5 χμ ΝΑ της Θάσου
