﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/12/26 16:13:51,38.10,23.14,17,4.0,25.6 χμ ΒΑ της Κορίνθου
﻿2021/09/02 05:48:37,38.33,23.34,11,4.0,27.3 χμ ΔΝΔ της Χαλκίδας
﻿2021/07/20 05:05:26,38.34,23.33,10,4.1,27.6 χμ ΔΝΔ της Χαλκίδας
﻿2021/07/11 00:00:17,38.33,23.32,8,4.3,28.2 χμ ΔΝΔ της Χαλκίδας
﻿2020/12/02 10:54:56,38.33,23.46,6,4.4,19.5 χμ ΝΔ της Χαλκίδας
﻿2020/09/11 03:00:58,38.12,23.18,13,4.3,29.4 χμ ΒΑ της Κορίνθου
﻿2020/09/03 15:07:35,38.17,23.99,5,4.3,47.3 χμ ΝΑ της Χαλκίδας
﻿2020/03/07 08:20:11,38.15,22.98,8,4.0,23.9 χμ Β της Κορίνθου
﻿2019/07/28 16:09:08,38.10,23.54,9,4.2,40.3 χμ Ν της Χαλκίδας
﻿2019/07/19 12:11:54,38.10,23.58,15,4.3,41.0 χμ Ν της Χαλκίδας
﻿2019/07/19 11:13:15,38.12,23.53,13,5.1,38.9 χμ Ν της Χαλκίδας
﻿2018/01/15 20:24:14,38.13,23.93,12,4.2,47.1 χμ ΝΑ της Χαλκίδας
﻿2013/09/20 02:05:18,38.18,23.13,23,4.4,32.0 χμ ΒΒΑ της Κορίνθου
﻿2010/09/02 03:53:04,38.22,23.17,26,4.3,35.2 χμ ΝΑ της Λειβαδιάς
﻿2009/09/10 06:04:18,38.30,24.05,23,4.2,43.3 χμ ΑΝΑ της Χαλκίδας
﻿2009/09/02 08:17:37,38.10,23.33,24,4.3,39.2 χμ ΑΒΑ της Κορίνθου
﻿2008/06/06 23:01:39,38.10,23.62,24,4.0,40.5 χμ Ν της Χαλκίδας
﻿2004/09/26 03:06:01,38.31,24.18,20,4.2,53.4 χμ ΑΝΑ της Χαλκίδας
﻿2001/10/26 13:32:52,38.10,23.31,24,4.0,37.7 χμ ΑΒΑ της Κορίνθου
﻿1999/10/23 02:25:01,38.09,23.25,28,4.1,32.6 χμ ΑΒΑ της Κορίνθου
﻿1999/09/08 16:54:08,38.22,23.70,26,4.0,28.5 χμ ΝΝΑ της Χαλκίδας
﻿1999/09/08 12:55:00,38.19,23.64,29,4.0,30.6 χμ Ν της Χαλκίδας
﻿1999/09/07 20:44:55,38.19,23.72,21,4.4,32.2 χμ ΝΝΑ της Χαλκίδας
﻿1999/09/07 20:32:26,38.17,23.55,26,4.1,32.9 χμ Ν της Χαλκίδας
﻿1999/09/07 13:05:48,38.14,23.61,24,4.1,36.0 χμ Ν της Χαλκίδας
﻿1999/09/07 11:56:50,38.15,23.62,30,5.4,34.9 χμ Ν της Χαλκίδας
﻿1997/11/05 10:27:54,38.24,23.52,26,4.0,25.8 χμ ΝΝΔ της Χαλκίδας
﻿1992/05/26 05:27:07,38.20,23.01,10,4.0,28.7 χμ ΝΝΑ της Λειβαδιάς
﻿1990/10/12 05:36:17,38.16,23.19,14,4.0,33.5 χμ ΒΑ της Κορίνθου
﻿1988/09/11 21:45:24,38.15,23.22,13,4.5,34.5 χμ ΒΑ της Κορίνθου
﻿1988/04/02 21:57:59,38.13,24.13,4,4.0,59.3 χμ ΝΑ της Χαλκίδας
﻿1986/05/22 05:52:29,38.12,23.17,17,4.0,29.1 χμ ΒΑ της Κορίνθου
﻿1983/10/07 04:14:05,37.99,23.25,122,4.0,28.5 χμ ΑΒΑ της Κορίνθου
﻿1983/08/12 17:17:26,38.12,23.22,9,4.0,32.3 χμ ΒΑ της Κορίνθου
﻿1982/07/29 22:08:46,38.20,23.10,10,4.1,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/09/23 23:10:01,38.20,23.20,10,4.1,37.4 χμ ΒΑ της Κορίνθου
﻿1981/08/27 04:44:46,38.20,23.20,10,4.3,37.4 χμ ΒΑ της Κορίνθου
﻿1981/06/21 05:10:05,38.20,23.20,10,4.2,37.4 χμ ΒΑ της Κορίνθου
﻿1981/06/17 12:17:50,38.20,23.00,10,4.0,28.4 χμ ΝΝΑ της Λειβαδιάς
﻿1981/06/16 19:38:26,38.20,23.00,10,4.0,28.4 χμ ΝΝΑ της Λειβαδιάς
﻿1981/05/31 04:29:17,38.10,23.00,10,4.2,19.0 χμ ΒΒΑ της Κορίνθου
﻿1981/05/09 14:00:56,38.20,23.20,10,4.4,37.4 χμ ΒΑ της Κορίνθου
﻿1981/03/26 14:40:11,38.20,23.00,10,4.4,28.4 χμ ΝΝΑ της Λειβαδιάς
﻿1981/03/19 15:18:46,38.20,23.20,10,4.1,37.4 χμ ΒΑ της Κορίνθου
﻿1981/03/18 16:55:28,38.30,23.20,10,4.7,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/16 01:52:12,38.30,23.30,10,4.3,31.8 χμ ΝΔ της Χαλκίδας
﻿1981/03/12 01:49:37,38.30,23.30,10,4.6,31.8 χμ ΝΔ της Χαλκίδας
﻿1981/03/11 07:34:09,38.30,23.20,10,4.4,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/08 02:18:15,38.30,23.00,10,4.1,18.6 χμ ΝΑ της Λειβαδιάς
﻿1981/03/07 20:12:57,38.30,23.20,10,4.0,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/07 16:54:32,38.20,23.20,10,4.3,37.4 χμ ΒΑ της Κορίνθου
﻿1981/03/07 11:51:35,38.20,23.30,10,4.5,39.3 χμ ΝΔ της Χαλκίδας
﻿1981/03/07 11:34:42,38.20,23.30,10,5.1,39.3 χμ ΝΔ της Χαλκίδας
﻿1981/03/05 23:58:35,38.20,23.20,10,4.0,37.4 χμ ΒΑ της Κορίνθου
﻿1981/03/05 21:54:37,38.20,23.20,10,4.3,37.4 χμ ΒΑ της Κορίνθου
﻿1981/03/05 18:08:26,38.20,23.10,10,4.0,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/03/05 10:29:45,38.20,23.10,10,4.2,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/03/05 06:59:06,38.30,23.20,10,5.6,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/05 02:53:46,38.30,23.10,10,4.1,24.8 χμ ΝΑ της Λειβαδιάς
﻿1981/03/05 01:10:13,38.20,23.10,10,4.7,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/03/05 00:50:37,38.10,23.10,10,4.1,23.3 χμ ΒΑ της Κορίνθου
﻿1981/03/04 23:17:50,38.30,23.20,10,4.2,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/04 23:06:47,38.30,23.10,10,4.0,24.8 χμ ΝΑ της Λειβαδιάς
﻿1981/03/04 23:04:45,38.20,23.10,10,4.5,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/03/04 22:56:43,38.20,23.10,10,4.0,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/03/04 22:47:29,38.30,23.20,10,4.2,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/04 22:31:05,38.30,23.10,10,4.4,24.8 χμ ΝΑ της Λειβαδιάς
﻿1981/03/04 22:14:28,38.20,23.10,10,4.3,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/03/04 22:03:11,38.20,23.20,10,4.0,37.4 χμ ΒΑ της Κορίνθου
﻿1981/03/04 21:58:04,38.30,23.20,10,5.8,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/04 18:21:34,38.30,23.20,10,4.1,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/04 13:48:33,38.30,23.10,10,4.3,24.8 χμ ΝΑ της Λειβαδιάς
﻿1981/03/03 17:01:44,38.30,23.20,10,4.3,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/03/03 13:04:28,38.20,23.10,10,4.1,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/03/03 10:28:07,38.30,23.10,10,4.1,24.8 χμ ΝΑ της Λειβαδιάς
﻿1981/03/03 10:27:06,38.30,23.10,10,4.3,24.8 χμ ΝΑ της Λειβαδιάς
﻿1981/02/28 17:06:21,38.20,23.20,10,4.5,37.4 χμ ΒΑ της Κορίνθου
﻿1981/02/28 13:00:50,38.20,23.30,10,4.2,39.3 χμ ΝΔ της Χαλκίδας
﻿1981/02/27 01:11:12,38.20,23.10,10,4.0,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/02/27 01:01:44,38.30,23.20,10,4.3,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/02/26 20:09:03,38.30,23.20,10,4.2,32.2 χμ ΑΝΑ της Λειβαδιάς
﻿1981/02/26 19:30:45,38.20,23.10,10,4.2,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/02/26 16:09:19,38.20,23.10,10,4.1,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/02/26 02:58:31,38.20,23.00,10,4.3,28.4 χμ ΝΝΑ της Λειβαδιάς
﻿1981/02/26 02:43:32,38.20,23.00,10,4.0,28.4 χμ ΝΝΑ της Λειβαδιάς
﻿1981/02/25 13:53:29,38.30,23.10,10,4.1,24.8 χμ ΝΑ της Λειβαδιάς
﻿1981/02/25 11:34:27,38.20,23.10,10,4.2,32.6 χμ ΒΒΑ της Κορίνθου
﻿1981/02/25 10:07:39,38.30,23.00,10,4.2,18.6 χμ ΝΑ της Λειβαδιάς
