﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/12/18 05:16:39,36.08,23.22,58,5.4,26.5 χμ ΝΑ των Κυθήρων
﻿2021/11/09 09:12:30,36.47,23.14,48,4.3,26.7 χμ ΒΒΑ των Κυθήρων
﻿2019/11/27 07:23:42,35.69,23.26,71,6.1,66.6 χμ ΝΝΑ των Κυθήρων
﻿2019/04/02 08:00:18,35.67,23.57,10,4.0,44.0 χμ ΔΒΔ των Χανίων
﻿2019/02/17 19:07:41,36.57,22.98,16,4.5,35.7 χμ Β των Κυθήρων
﻿2018/12/20 04:54:39,36.37,23.06,6,4.0,13.5 χμ ΒΒΑ των Κυθήρων
﻿2016/12/27 19:31:06,36.56,22.96,10,4.4,34.7 χμ Β των Κυθήρων
﻿2016/02/24 14:41:40,36.07,23.85,46,4.0,63.8 χμ ΒΒΔ των Χανίων
﻿2015/10/27 13:14:40,35.88,24.01,31,4.2,40.9 χμ Β των Χανίων
﻿2015/04/18 16:46:50,36.48,23.14,19,4.7,27.7 χμ ΒΒΑ των Κυθήρων
﻿2015/03/13 13:33:08,36.43,23.22,17,4.7,26.9 χμ ΒΑ των Κυθήρων
﻿2014/08/29 03:48:36,36.69,23.71,90,4.7,65.8 χμ Δ της Μήλου
﻿2014/08/29 03:45:05,36.67,23.67,97,5.7,69.4 χμ Δ της Μήλου
﻿2014/08/11 18:48:13,36.19,23.34,54,4.1,29.7 χμ ΑΝΑ των Κυθήρων
﻿2014/07/08 14:05:29,35.92,23.55,28,4.0,60.4 χμ ΝΑ των Κυθήρων
﻿2013/04/09 03:36:26,36.53,23.06,24,4.9,31.2 χμ Β των Κυθήρων
﻿2013/03/31 16:28:08,35.98,24.36,91,4.3,60.6 χμ ΒΒΑ των Χανίων
﻿2012/03/20 23:51:09,36.05,24.40,67,4.6,69.1 χμ ΒΒΑ των Χανίων
﻿2011/10/05 14:41:30,36.09,23.40,79,4.0,38.7 χμ ΑΝΑ των Κυθήρων
﻿2011/05/27 17:24:30,35.78,23.51,21,4.6,54.5 χμ ΔΒΔ των Χανίων
﻿2011/04/15 03:18:28,36.66,22.97,18,4.2,45.6 χμ Β των Κυθήρων
﻿2010/03/12 01:53:59,36.43,23.52,53,4.6,49.1 χμ ΑΒΑ των Κυθήρων
﻿2008/11/04 12:05:43,36.19,23.35,68,4.3,30.5 χμ ΑΝΑ των Κυθήρων
﻿2008/09/16 02:58:39,36.69,24.03,137,4.5,37.3 χμ Δ της Μήλου
﻿2006/02/15 10:41:18,36.16,23.37,64,4.2,33.2 χμ ΑΝΑ των Κυθήρων
﻿2006/01/11 10:34:50,36.19,23.39,54,4.3,34.1 χμ ΑΝΑ των Κυθήρων
﻿2006/01/08 11:40:59,36.20,23.37,43,4.6,32.1 χμ Α των Κυθήρων
﻿2006/01/08 11:34:54,36.21,23.41,69,6.4,35.5 χμ Α των Κυθήρων
﻿2005/07/07 11:45:09,36.41,23.14,26,4.3,20.7 χμ ΒΒΑ των Κυθήρων
﻿2004/11/04 06:22:37,35.86,23.23,95,5.0,47.5 χμ ΝΝΑ των Κυθήρων
﻿2004/04/12 22:29:00,36.11,23.49,20,4.0,45.2 χμ ΑΝΑ των Κυθήρων
﻿2003/10/16 22:44:39,36.50,23.09,17,4.2,28.4 χμ ΒΒΑ των Κυθήρων
﻿2003/05/28 04:57:34,36.33,22.98,74,4.0,9.4 χμ ΒΒΔ των Κυθήρων
﻿2002/05/21 20:53:30,36.57,24.31,97,5.1,17.0 χμ ΝΔ της Μήλου
﻿2002/05/09 01:49:39,36.57,23.21,16,4.4,39.4 χμ ΒΒΑ των Κυθήρων
﻿2002/04/03 12:00:10,35.80,23.71,5,4.0,42.3 χμ ΒΔ των Χανίων
﻿2002/01/07 11:09:33,35.74,24.21,27,4.1,30.8 χμ ΒΑ των Χανίων
﻿2001/11/03 20:28:17,36.28,23.55,89,4.0,47.8 χμ Α των Κυθήρων
﻿2001/09/28 16:13:26,35.64,23.17,5,4.0,69.3 χμ ΝΝΑ των Κυθήρων
﻿2001/03/02 16:10:01,35.93,24.25,59,4.2,51.0 χμ ΒΒΑ των Χανίων
﻿1998/08/25 23:36:24,36.01,23.79,82,4.3,59.0 χμ ΒΒΔ των Χανίων
﻿1996/06/29 01:09:03,36.38,23.18,8,4.0,20.4 χμ ΒΑ των Κυθήρων
﻿1995/01/24 18:08:45,36.52,23.09,5,4.0,30.6 χμ ΒΒΑ των Κυθήρων
﻿1993/10/01 03:59:35,36.68,24.20,26,4.7,22.1 χμ Δ της Μήλου
﻿1988/12/23 07:45:17,35.97,24.15,2,4.1,52.3 χμ ΒΒΑ των Χανίων
﻿1985/05/28 04:36:27,35.77,23.83,20,4.2,33.2 χμ ΒΒΔ των Χανίων
﻿1983/05/08 03:38:52,35.71,24.26,108,4.2,31.2 χμ ΒΑ των Χανίων
﻿1982/04/20 19:30:36,35.80,23.40,10,4.5,60.8 χμ ΝΑ των Κυθήρων
﻿1979/07/26 12:11:07,35.90,24.00,70,4.0,43.1 χμ Β των Χανίων
﻿1975/09/17 23:04:02,36.20,23.20,10,4.9,17.3 χμ ΑΝΑ των Κυθήρων
﻿1972/02/13 11:27:42,36.50,24.10,10,4.0,36.7 χμ ΔΝΔ της Μήλου
﻿1966/01/15 18:07:41,36.60,23.10,10,4.7,39.5 χμ Β των Κυθήρων
