﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/12/29 23:06:38,35.11,25.20,15,4.2,25.0 χμ ΝΝΑ του Ηρακλείου
﻿2021/12/29 16:47:08,34.75,25.17,78,5.2,64.6 χμ Ν του Ηρακλείου
﻿2021/11/02 09:14:48,34.88,26.28,10,4.0,115.6 χμ ΑΝΑ του Ηρακλείου
﻿2021/10/22 10:11:30,35.12,25.23,12,4.3,24.2 χμ ΝΝΑ του Ηρακλείου
﻿2021/10/21 14:14:01,35.11,25.23,14,4.0,25.7 χμ ΝΝΑ του Ηρακλείου
﻿2021/10/21 09:38:37,35.13,25.24,14,4.5,24.1 χμ ΝΝΑ του Ηρακλείου
﻿2021/10/21 08:12:56,35.13,25.25,14,4.5,24.3 χμ ΝΝΑ του Ηρακλείου
﻿2021/10/20 02:44:05,35.18,25.31,12,4.3,23.2 χμ ΝΑ του Ηρακλείου
﻿2021/10/15 23:25:43,34.93,26.43,5,4.1,104.4 χμ ΝΔ της Καρπάθου
﻿2021/10/12 09:36:28,35.04,26.31,21,4.1,102.7 χμ ΝΔ της Καρπάθου
﻿2021/10/12 09:24:03,35.04,26.51,8,6.3,90.2 χμ ΝΔ της Καρπάθου
﻿2021/09/29 11:54:49,35.14,25.21,16,4.6,21.3 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/28 15:13:15,35.15,25.27,14,4.6,23.4 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/28 04:48:09,35.15,25.22,11,5.3,20.8 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 21:37:10,35.16,25.31,14,4.4,24.3 χμ ΝΑ του Ηρακλείου
﻿2021/09/27 20:10:00,35.13,25.25,14,4.4,24.4 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 11:02:25,35.18,25.25,13,4.7,19.5 χμ ΝΑ του Ηρακλείου
﻿2021/09/27 10:34:20,35.12,25.27,13,4.0,26.3 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 10:23:11,35.12,25.28,13,4.0,26.1 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 08:21:57,35.14,25.30,12,4.4,25.6 χμ ΝΑ του Ηρακλείου
﻿2021/09/27 07:47:24,35.13,25.19,15,4.1,22.2 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 07:46:30,35.16,25.19,18,4.2,18.6 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 07:30:45,35.13,25.25,14,4.5,23.7 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 06:37:42,35.13,25.28,14,4.4,25.4 χμ ΝΝΑ του Ηρακλείου
﻿2021/09/27 06:17:21,35.15,25.27,10,5.8,23.3 χμ ΝΑ του Ηρακλείου
﻿2021/07/24 02:07:37,35.14,25.23,13,4.8,22.3 χμ ΝΝΑ του Ηρακλείου
﻿2021/07/20 17:44:15,35.17,25.23,13,4.1,19.6 χμ ΝΝΑ του Ηρακλείου
﻿2021/07/18 04:56:53,35.16,25.23,17,4.0,20.0 χμ ΝΝΑ του Ηρακλείου
﻿2021/07/05 20:40:29,35.15,25.25,15,4.2,21.7 χμ ΝΝΑ του Ηρακλείου
﻿2021/07/02 19:46:08,35.18,25.24,13,4.1,19.1 χμ ΝΝΑ του Ηρακλείου
﻿2021/06/04 01:05:26,35.16,25.25,15,4.2,21.5 χμ ΝΝΑ του Ηρακλείου
﻿2021/01/09 04:33:55,35.62,26.33,24,4.0,73.9 χμ Δ της Καρπάθου
﻿2020/12/17 13:36:46,35.61,26.34,27,4.9,72.6 χμ Δ της Καρπάθου
﻿2020/10/14 22:22:49,35.62,26.36,12,4.0,71.0 χμ Δ της Καρπάθου
﻿2020/10/12 02:38:53,35.61,26.29,19,4.1,77.3 χμ Δ της Καρπάθου
﻿2020/10/12 00:44:26,35.60,26.32,27,4.4,75.2 χμ Δ της Καρπάθου
﻿2020/09/24 18:52:14,35.29,25.92,16,4.1,71.7 χμ Α του Ηρακλείου
﻿2020/09/20 06:31:04,35.07,26.38,13,4.3,95.7 χμ ΝΔ της Καρπάθου
﻿2020/09/18 16:28:18,34.93,25.29,52,5.3,45.9 χμ ΝΝΑ του Ηρακλείου
﻿2020/08/14 13:46:27,35.14,26.31,14,4.0,95.6 χμ ΝΔ της Καρπάθου
﻿2020/04/22 06:05:50,35.21,26.19,19,4.4,96.9 χμ Α του Ηρακλείου
﻿2020/04/11 10:22:55,35.22,26.18,21,4.8,96.0 χμ Α του Ηρακλείου
﻿2020/02/07 03:11:48,35.17,26.57,5,4.5,76.0 χμ ΝΔ της Καρπάθου
﻿2020/02/07 02:24:01,35.25,26.53,5,4.0,72.7 χμ ΝΔ της Καρπάθου
﻿2019/12/12 03:05:43,35.05,26.29,15,4.7,104.0 χμ ΝΔ της Καρπάθου
﻿2019/12/10 21:58:30,35.39,26.50,33,5.3,66.4 χμ ΔΝΔ της Καρπάθου
﻿2019/07/04 04:01:32,35.42,25.31,12,4.2,19.0 χμ ΑΒΑ του Ηρακλείου
﻿2019/01/10 18:24:40,34.67,26.61,44,4.6,121.2 χμ ΝΝΔ της Καρπάθου
﻿2018/12/24 02:20:57,35.52,26.51,26,4.1,60.1 χμ ΔΝΔ της Καρπάθου
﻿2018/09/30 13:15:57,35.10,26.23,75,4.6,103.1 χμ ΑΝΑ του Ηρακλείου
﻿2018/09/26 02:52:19,35.47,26.53,52,4.4,59.7 χμ ΔΝΔ της Καρπάθου
﻿2018/07/13 12:42:39,34.91,25.99,5,4.5,91.0 χμ ΑΝΑ του Ηρακλείου
﻿2018/04/02 09:46:34,35.54,26.59,9,4.2,52.3 χμ ΔΝΔ της Καρπάθου
﻿2017/11/10 18:35:45,34.86,26.11,8,4.1,102.5 χμ ΑΝΑ του Ηρακλείου
﻿2017/07/21 10:36:54,34.91,25.50,4,4.3,56.9 χμ ΝΑ του Ηρακλείου
﻿2017/07/15 20:30:15,34.82,25.46,5,5.3,63.8 χμ ΝΝΑ του Ηρακλείου
﻿2017/05/20 09:12:27,35.11,26.60,10,4.1,78.6 χμ ΝΔ της Καρπάθου
﻿2017/03/03 23:17:00,35.50,25.92,13,4.6,74.2 χμ ΑΒΑ του Ηρακλείου
﻿2017/01/25 18:50:53,35.40,26.45,61,5.4,69.9 χμ ΔΝΔ της Καρπάθου
﻿2016/05/25 08:36:15,35.04,26.29,20,5.5,104.2 χμ ΝΔ της Καρπάθου
﻿2016/04/16 00:10:40,34.98,25.74,9,4.7,67.4 χμ ΝΑ του Ηρακλείου
﻿2016/02/18 02:40:24,35.18,26.32,28,4.7,92.2 χμ ΝΔ της Καρπάθου
﻿2016/02/05 23:01:29,34.98,25.83,17,4.5,74.3 χμ ΑΝΑ του Ηρακλείου
﻿2015/12/25 02:24:31,34.71,25.50,75,4.4,76.2 χμ ΝΝΑ του Ηρακλείου
﻿2015/05/17 04:08:49,34.68,26.26,24,4.1,125.4 χμ ΝΑ του Ηρακλείου
﻿2015/05/10 21:32:47,34.95,25.29,62,4.4,44.1 χμ ΝΝΑ του Ηρακλείου
﻿2015/02/05 16:17:47,34.91,25.43,16,4.4,53.6 χμ ΝΝΑ του Ηρακλείου
﻿2015/01/10 14:00:01,35.31,26.20,13,4.2,94.3 χμ ΔΝΔ της Καρπάθου
﻿2015/01/05 11:54:00,34.96,26.35,4,4.2,106.6 χμ ΝΔ της Καρπάθου
﻿2014/11/09 23:24:36,34.75,26.46,31,4.1,119.4 χμ ΝΝΔ της Καρπάθου
﻿2014/10/06 18:08:01,35.12,26.55,22,4.4,81.2 χμ ΝΔ της Καρπάθου
﻿2014/10/04 12:27:55,35.22,26.24,31,4.5,95.8 χμ ΔΝΔ της Καρπάθου
﻿2014/05/31 22:08:29,34.96,25.82,20,4.2,74.7 χμ ΑΝΑ του Ηρακλείου
﻿2014/05/18 12:08:05,34.88,26.17,21,4.2,106.7 χμ ΑΝΑ του Ηρακλείου
﻿2013/12/24 03:32:51,35.05,26.23,27,4.2,104.5 χμ ΑΝΑ του Ηρακλείου
﻿2013/05/20 22:48:38,35.51,26.53,31,4.2,58.3 χμ ΔΝΔ της Καρπάθου
﻿2012/04/23 22:15:34,34.94,25.35,21,4.5,47.2 χμ ΝΝΑ του Ηρακλείου
﻿2012/03/22 00:38:12,35.49,26.10,30,4.1,89.8 χμ ΑΒΑ του Ηρακλείου
﻿2012/03/02 08:04:00,34.76,25.80,32,4.3,87.5 χμ ΝΑ του Ηρακλείου
﻿2011/02/28 07:49:07,34.98,25.42,53,5.2,46.5 χμ ΝΑ του Ηρακλείου
﻿2010/10/03 15:35:33,34.94,26.52,22,4.2,98.7 χμ ΝΔ της Καρπάθου
﻿2010/10/03 15:20:56,34.78,26.52,17,5.1,113.7 χμ ΝΝΔ της Καρπάθου
﻿2010/09/04 08:35:48,35.42,26.48,35,4.0,66.1 χμ ΔΝΔ της Καρπάθου
﻿2010/07/02 14:08:17,35.13,26.33,29,4.0,94.9 χμ ΝΔ της Καρπάθου
﻿2010/06/25 19:28:01,35.50,26.31,27,4.2,77.7 χμ ΔΝΔ της Καρπάθου
﻿2010/04/26 10:26:53,35.12,26.30,21,4.2,97.7 χμ ΝΔ της Καρπάθου
﻿2008/10/12 19:05:56,34.81,25.25,53,4.2,58.3 χμ Ν του Ηρακλείου
﻿2008/06/12 00:20:45,35.11,26.19,29,5.0,99.2 χμ ΑΝΑ του Ηρακλείου
﻿2008/03/28 00:16:21,35.01,25.33,50,5.1,39.4 χμ ΝΝΑ του Ηρακλείου
﻿2008/03/01 00:07:07,35.20,26.18,22,4.1,96.3 χμ Α του Ηρακλείου
﻿2008/01/15 23:42:46,35.34,26.45,77,4.0,72.6 χμ ΔΝΔ της Καρπάθου
﻿2007/12/03 00:19:56,35.28,25.45,40,4.0,29.4 χμ Α του Ηρακλείου
﻿2007/11/04 20:56:18,35.36,26.16,31,4.2,93.5 χμ Α του Ηρακλείου
﻿2007/08/08 21:29:02,34.83,25.24,37,4.2,55.9 χμ Ν του Ηρακλείου
