﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2020/02/06 09:24:15,39.21,21.45,10,4.7,40.6 χμ Α της Αρτας
﻿2018/08/31 08:26:23,39.35,21.61,6,4.1,26.9 χμ ΝΝΔ των Τρικάλων
﻿2018/08/31 07:12:24,39.29,21.63,10,5.0,26.6 χμ ΔΝΔ της Καρδίτσας
﻿2017/02/28 12:47:37,39.58,23.27,6,4.2,36.9 χμ ΒΑ του Βόλου
﻿2015/08/08 17:22:20,39.24,21.38,11,4.2,35.1 χμ ΑΒΑ της Αρτας
﻿2014/12/19 22:40:32,39.33,22.62,19,4.1,28.3 χμ Δ του Βόλου
﻿2011/10/04 09:26:28,39.18,21.60,20,4.3,34.5 χμ ΝΔ της Καρδίτσας
﻿2010/01/14 04:25:10,39.24,22.27,88,4.5,33.1 χμ ΑΝΑ της Καρδίτσας
﻿2009/10/26 02:52:05,39.24,22.24,88,4.0,30.7 χμ ΑΝΑ της Καρδίτσας
﻿2004/12/11 21:03:19,39.24,21.68,15,4.2,25.0 χμ ΝΔ της Καρδίτσας
﻿2001/03/26 08:28:02,39.35,21.73,5,4.1,16.6 χμ Δ της Καρδίτσας
﻿2001/02/15 15:10:18,39.21,22.19,91,4.0,28.9 χμ ΝΑ της Καρδίτσας
﻿1989/09/19 07:57:07,39.48,21.36,1,4.5,35.9 χμ ΔΝΔ των Τρικάλων
﻿1985/06/20 02:58:32,39.26,22.86,39,4.0,14.0 χμ ΝΝΔ του Βόλου
﻿1985/04/30 18:14:12,39.24,22.89,13,5.3,14.9 χμ ΝΝΔ του Βόλου
﻿1984/12/07 00:09:23,39.28,22.88,5,4.1,11.2 χμ ΝΝΔ του Βόλου
﻿1984/06/26 14:48:46,39.47,21.58,8,4.1,18.7 χμ ΔΝΔ των Τρικάλων
﻿1982/08/08 08:28:30,39.20,22.90,10,4.1,18.9 χμ ΝΝΔ του Βόλου
﻿1982/08/05 11:05:41,39.30,23.00,10,4.3,8.8 χμ ΝΝΑ του Βόλου
﻿1982/08/05 08:55:47,39.20,23.40,10,4.0,8.1 χμ ΔΒΔ της Σκιάθου
﻿1981/05/06 00:18:22,39.30,22.90,10,4.4,8.4 χμ ΝΝΔ του Βόλου
﻿1980/12/22 16:21:35,39.20,22.80,10,4.1,22.4 χμ ΝΔ του Βόλου
﻿1980/10/21 04:07:17,39.30,23.00,10,4.5,8.8 χμ ΝΝΑ του Βόλου
﻿1980/10/21 02:35:42,39.30,23.10,10,4.3,15.2 χμ ΑΝΑ του Βόλου
﻿1980/09/26 04:19:18,39.20,22.80,10,4.4,22.4 χμ ΝΔ του Βόλου
﻿1980/08/12 01:41:03,39.30,22.90,10,4.3,8.4 χμ ΝΝΔ του Βόλου
﻿1980/08/11 09:15:58,39.30,23.00,10,4.7,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/29 20:41:28,39.30,23.10,10,4.5,15.2 χμ ΑΝΑ του Βόλου
﻿1980/07/24 10:44:11,39.30,23.00,10,4.3,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/24 10:07:50,39.30,23.00,10,4.0,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/16 00:06:57,39.20,22.80,10,4.5,22.4 χμ ΝΔ του Βόλου
﻿1980/07/15 11:34:53,39.20,23.00,10,4.4,19.1 χμ ΝΝΑ του Βόλου
﻿1980/07/15 00:31:41,39.20,23.00,10,4.4,19.1 χμ ΝΝΑ του Βόλου
﻿1980/07/12 08:51:53,39.30,23.00,10,4.0,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/10 19:39:01,39.30,22.90,10,5.0,8.4 χμ ΝΝΔ του Βόλου
﻿1980/07/09 06:11:06,39.30,22.90,10,4.1,8.4 χμ ΝΝΔ του Βόλου
﻿1980/07/09 06:01:46,39.30,23.00,10,4.8,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/09 04:23:20,39.20,22.90,10,4.1,18.9 χμ ΝΝΔ του Βόλου
﻿1980/07/09 02:35:50,39.20,22.70,10,5.6,28.1 χμ ΝΔ του Βόλου
﻿1980/07/08 02:59:27,39.30,23.00,10,4.3,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/07 16:04:38,39.30,23.00,10,4.6,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/06 05:34:39,39.30,23.00,10,4.7,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/05 05:34:35,39.30,23.00,10,4.0,8.8 χμ ΝΝΑ του Βόλου
﻿1980/07/04 20:20:12,39.30,23.00,10,4.4,8.8 χμ ΝΝΑ του Βόλου
﻿1980/01/25 23:08:16,39.30,23.00,10,4.2,8.8 χμ ΝΝΑ του Βόλου
﻿1980/01/21 07:47:00,39.30,23.00,10,4.1,8.8 χμ ΝΝΑ του Βόλου
﻿1980/01/21 07:15:52,39.30,23.00,10,4.0,8.8 χμ ΝΝΑ του Βόλου
﻿1979/02/07 10:16:46,39.60,23.30,10,4.3,40.0 χμ ΒΑ του Βόλου
﻿1978/01/31 06:39:17,39.30,23.00,10,4.1,8.8 χμ ΝΝΑ του Βόλου
﻿1977/04/05 17:15:07,39.20,23.15,10,4.0,25.5 χμ ΝΑ του Βόλου
﻿1976/02/22 22:54:34,39.30,22.20,10,4.2,25.0 χμ ΑΝΑ της Καρδίτσας
﻿1976/02/22 22:01:47,39.30,22.20,10,4.1,25.0 χμ ΑΝΑ της Καρδίτσας
﻿1976/02/22 12:02:51,39.40,22.20,10,4.6,24.2 χμ Α της Καρδίτσας
﻿1972/12/05 12:00:11,39.20,23.40,10,4.4,8.1 χμ ΔΒΔ της Σκιάθου
﻿1972/11/20 03:30:22,39.40,21.80,10,4.3,11.1 χμ ΔΒΔ της Καρδίτσας
﻿1972/04/11 11:12:11,39.40,21.40,10,4.0,36.0 χμ ΔΝΔ των Τρικάλων
﻿1969/02/21 18:39:51,39.30,21.80,10,4.0,12.8 χμ ΝΔ της Καρδίτσας
﻿1967/09/12 14:46:36,39.30,21.60,10,4.0,28.6 χμ ΔΝΔ της Καρδίτσας
