﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/03/23 00:08:03,40.13,21.01,14,4.3,23.0 χμ ΑΒΑ της Κόνιτσας
﻿2012/09/22 06:15:57,40.16,20.83,17,4.5,13.9 χμ ΒΒΑ της Κόνιτσας
﻿2005/09/15 03:30:21,39.70,20.96,14,4.1,10.0 χμ ΑΒΑ των Ιωαννίνων
﻿2003/12/07 15:40:17,39.86,20.84,63,4.2,21.4 χμ Β των Ιωαννίνων
﻿1998/04/12 23:53:39,40.15,21.22,5,4.2,18.3 χμ ΔΒΔ των Γρεβενών
﻿1996/11/22 21:05:47,40.00,20.80,1,4.0,6.5 χμ ΝΑ της Κόνιτσας
﻿1996/09/26 12:31:50,40.08,20.80,5,4.1,5.1 χμ ΒΑ της Κόνιτσας
﻿1995/12/16 17:17:05,39.83,20.78,22,4.0,19.1 χμ ΒΒΔ των Ιωαννίνων
﻿1985/04/16 12:46:46,39.77,20.77,5,4.1,13.3 χμ ΒΒΔ των Ιωαννίνων
﻿1969/11/16 09:33:39,40.20,20.80,10,4.1,17.2 χμ ΒΒΑ της Κόνιτσας
﻿1967/05/09 08:00:37,39.80,20.90,10,4.2,15.3 χμ ΒΒΑ των Ιωαννίνων
﻿1967/05/05 20:18:27,39.70,20.90,10,4.0,5.5 χμ ΒΑ των Ιωαννίνων
﻿1967/05/05 15:58:33,39.70,20.80,10,4.0,5.7 χμ ΒΔ των Ιωαννίνων
﻿1967/05/05 14:49:54,39.80,20.90,10,4.2,15.3 χμ ΒΒΑ των Ιωαννίνων
﻿1967/05/04 17:11:01,39.80,21.10,10,4.0,25.9 χμ ΒΑ των Ιωαννίνων
﻿1967/05/04 13:30:54,39.80,20.90,10,4.1,15.3 χμ ΒΒΑ των Ιωαννίνων
﻿1967/05/04 13:13:24,40.00,20.90,10,4.2,13.3 χμ ΑΝΑ της Κόνιτσας
﻿1967/05/04 04:46:10,39.80,21.00,10,4.2,19.5 χμ ΒΑ των Ιωαννίνων
﻿1967/05/04 03:18:25,39.75,21.00,10,4.0,15.7 χμ ΒΑ των Ιωαννίνων
﻿1967/05/02 19:29:21,39.80,21.00,10,4.1,19.5 χμ ΒΑ των Ιωαννίνων
﻿1967/05/02 15:29:48,39.80,21.00,10,4.2,19.5 χμ ΒΑ των Ιωαννίνων
﻿1967/05/02 09:56:14,39.80,20.90,10,4.1,15.3 χμ ΒΒΑ των Ιωαννίνων
﻿1967/05/02 08:11:47,39.80,20.90,10,4.4,15.3 χμ ΒΒΑ των Ιωαννίνων
﻿1967/05/02 01:27:12,39.80,20.90,10,4.2,15.3 χμ ΒΒΑ των Ιωαννίνων
﻿1967/05/01 16:39:56,39.80,20.90,10,4.1,15.3 χμ ΒΒΑ των Ιωαννίνων
﻿1967/05/01 14:37:54,39.80,21.00,10,4.2,19.5 χμ ΒΑ των Ιωαννίνων
﻿1967/05/01 09:50:00,39.70,20.90,10,5.0,5.5 χμ ΒΑ των Ιωαννίνων
﻿1967/05/01 09:47:33,39.80,21.00,10,4.2,19.5 χμ ΒΑ των Ιωαννίνων
