﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/11/30 10:32:24,37.70,25.99,16,4.1,20.5 χμ ΒΔ της Ικαρίας
﻿2021/11/30 04:09:15,37.71,25.98,22,4.1,21.6 χμ ΒΔ της Ικαρίας
﻿2021/11/30 04:00:39,37.70,26.00,16,5.0,19.2 χμ ΒΔ της Ικαρίας
﻿2021/02/09 07:30:35,37.75,26.41,12,4.1,28.4 χμ ΒΑ της Ικαρίας
﻿2019/08/30 17:21:05,37.54,26.89,15,4.4,24.7 χμ ΝΝΔ της Σάμου
﻿2019/08/30 15:38:14,37.54,26.85,16,4.4,26.8 χμ ΝΝΔ της Σάμου
﻿2018/07/26 08:17:51,37.70,26.74,14,4.3,21.8 χμ ΔΝΔ της Σάμου
﻿2013/02/21 10:18:49,37.40,26.95,24,4.5,39.8 χμ Ν της Σάμου
﻿2012/11/29 11:28:40,37.20,26.86,30,4.4,51.1 χμ ΒΔ της Κω
﻿2009/06/20 08:28:19,37.68,26.86,12,4.8,13.4 χμ ΝΔ της Σάμου
﻿2009/05/04 05:47:37,36.91,26.55,21,4.2,65.7 χμ Δ της Κω
﻿2008/04/11 08:01:37,37.75,26.92,20,4.3,5.1 χμ Δ της Σάμου
﻿2002/05/17 15:56:46,36.95,27.25,13,4.0,7.2 χμ ΒΒΔ της Κω
﻿2002/05/14 23:32:38,36.90,26.64,25,4.1,57.7 χμ Δ της Κω
﻿2002/05/08 02:29:42,36.91,26.63,31,4.0,58.6 χμ Δ της Κω
﻿2001/06/30 18:02:26,37.28,26.83,27,4.0,54.6 χμ ΝΝΔ της Σάμου
﻿1999/03/03 04:28:53,37.37,27.01,13,4.4,43.2 χμ Ν της Σάμου
﻿1998/02/10 23:52:35,36.96,26.19,18,4.3,69.3 χμ Ν της Ικαρίας
﻿1996/11/28 22:36:01,36.98,26.76,30,4.0,48.0 χμ ΔΒΔ της Κω
﻿1996/07/24 08:02:55,36.91,26.85,9,4.3,39.1 χμ Δ της Κω
﻿1996/07/21 01:31:51,37.32,26.14,10,4.0,29.4 χμ Ν της Ικαρίας
﻿1996/07/21 00:06:26,36.90,26.37,10,4.1,78.1 χμ ΝΝΑ της Ικαρίας
﻿1996/02/03 19:48:50,37.56,26.86,15,4.3,24.2 χμ ΝΝΔ της Σάμου
﻿1995/07/05 13:09:17,37.59,26.65,5,4.0,34.3 χμ ΔΝΔ της Σάμου
﻿1994/05/06 21:28:24,37.23,26.59,17,4.0,54.2 χμ ΝΑ της Ικαρίας
﻿1990/05/30 04:10:45,37.02,26.80,1,4.0,45.7 χμ ΔΒΔ της Κω
﻿1988/06/10 02:13:24,37.44,27.18,37,4.0,39.6 χμ ΝΝΑ της Σάμου
﻿1986/10/08 22:02:59,36.90,26.63,26,4.0,58.6 χμ Δ της Κω
﻿1986/03/25 03:22:14,36.97,26.66,16,4.0,56.5 χμ Δ της Κω
﻿1986/03/19 15:29:10,37.55,26.94,5,4.3,23.3 χμ Ν της Σάμου
﻿1985/10/20 07:52:34,37.73,25.98,5,4.2,23.2 χμ ΒΔ της Ικαρίας
﻿1982/04/05 03:36:46,37.60,27.00,10,4.0,17.6 χμ Ν της Σάμου
﻿1981/04/08 13:49:36,37.00,26.80,10,4.0,45.0 χμ ΔΒΔ της Κω
﻿1972/12/24 05:43:53,37.70,27.00,10,4.0,6.7 χμ ΝΝΑ της Σάμου
﻿1972/04/07 06:31:20,36.90,26.10,10,4.0,68.2 χμ ΑΝΑ της Νάξου
﻿1972/03/31 20:04:26,37.20,27.20,10,4.2,35.0 χμ ΒΒΔ της Κω
﻿1971/11/03 21:56:13,37.10,26.80,10,4.0,49.1 χμ ΔΒΔ της Κω
﻿1970/04/17 01:31:35,37.20,26.80,10,4.2,55.2 χμ ΒΔ της Κω
﻿1968/10/06 15:06:39,37.00,26.50,10,4.8,71.1 χμ Δ της Κω
﻿1967/06/30 08:54:58,37.00,26.75,10,4.1,49.3 χμ ΔΒΔ της Κω
﻿1966/07/17 19:39:45,37.05,27.25,10,4.0,17.8 χμ Β της Κω
﻿1966/04/07 00:40:25,37.00,27.00,10,4.1,28.3 χμ ΔΒΔ της Κω
﻿1966/03/29 15:16:31,37.00,26.90,10,4.3,36.5 χμ ΔΒΔ της Κω
﻿1966/03/29 07:24:51,37.00,26.90,10,4.2,36.5 χμ ΔΒΔ της Κω
﻿1966/03/29 00:08:36,37.00,26.90,10,4.3,36.5 χμ ΔΒΔ της Κω
﻿1966/03/28 23:46:49,37.00,26.90,10,4.0,36.5 χμ ΔΒΔ της Κω
﻿1966/03/28 01:15:19,37.00,26.90,10,4.1,36.5 χμ ΔΒΔ της Κω
﻿1966/03/27 23:58:58,37.00,26.90,10,4.3,36.5 χμ ΔΒΔ της Κω
﻿1966/03/27 22:23:42,37.00,26.90,10,4.1,36.5 χμ ΔΒΔ της Κω
﻿1966/03/27 14:29:53,37.00,26.90,10,4.0,36.5 χμ ΔΒΔ της Κω
﻿1965/11/22 05:23:36,37.30,27.00,10,4.2,50.9 χμ Ν της Σάμου
