﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2021/12/29 05:08:09,34.79,25.13,67,5.7,59.4 χμ Ν του Ηρακλείου
﻿2021/06/17 00:35:15,35.58,24.89,60,4.1,35.9 χμ ΒΔ του Ηρακλείου
﻿2019/07/31 04:40:05,35.40,24.89,66,5.2,23.2 χμ ΔΒΔ του Ηρακλείου
﻿2018/09/18 05:04:21,34.65,24.61,20,4.0,80.7 χμ Ν του Ρεθύμνου
﻿2018/01/03 22:15:12,34.73,25.02,6,4.1,66.9 χμ Ν του Ηρακλείου
﻿2017/03/30 05:12:27,34.75,24.84,24,4.1,69.0 χμ ΝΝΔ του Ηρακλείου
﻿2017/02/15 23:01:24,34.78,24.94,12,4.5,62.8 χμ ΝΝΔ του Ηρακλείου
﻿2015/09/15 05:04:43,34.77,24.99,15,4.2,63.0 χμ ΝΝΔ του Ηρακλείου
﻿2015/05/18 20:41:01,34.80,25.01,59,4.4,59.4 χμ Ν του Ηρακλείου
﻿2015/05/06 03:49:54,34.72,25.02,37,4.5,68.0 χμ Ν του Ηρακλείου
﻿2014/08/08 08:20:47,34.80,24.83,27,4.8,64.5 χμ ΝΝΔ του Ηρακλείου
﻿2014/06/01 12:05:51,34.75,24.61,32,4.8,69.5 χμ Ν του Ρεθύμνου
﻿2013/09/08 04:59:29,34.93,25.10,14,4.7,44.0 χμ Ν του Ηρακλείου
﻿2013/09/06 02:57:46,34.84,24.90,15,4.2,57.9 χμ ΝΝΔ του Ηρακλείου
﻿2011/03/06 03:28:17,34.81,24.99,42,4.0,58.7 χμ ΝΝΔ του Ηρακλείου
﻿2010/06/06 12:21:00,35.59,24.81,63,4.4,39.6 χμ ΒΑ του Ρεθύμνου
﻿2009/01/19 23:02:06,34.85,24.86,13,4.2,58.3 χμ ΝΝΔ του Ηρακλείου
﻿2007/10/25 02:26:18,34.79,24.99,21,4.0,60.8 χμ ΝΝΔ του Ηρακλείου
﻿2007/05/03 01:42:27,34.86,24.93,9,4.0,54.8 χμ ΝΝΔ του Ηρακλείου
﻿2005/07/23 13:09:27,35.01,24.68,24,4.3,43.8 χμ ΝΝΑ του Ρεθύμνου
﻿2005/05/01 20:46:38,35.03,25.09,18,4.0,33.0 χμ Ν του Ηρακλείου
﻿2004/09/20 09:09:11,34.79,25.06,21,4.0,59.8 χμ Ν του Ηρακλείου
