﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2018/09/18 02:48:43,38.12,21.57,19,4.0,20.4 χμ ΝΔ της Πάτρας
﻿2018/07/05 21:39:05,37.97,21.29,9,4.5,7.7 χμ ΒΒΑ της Ανδραβίδας
﻿2012/05/28 15:44:12,37.99,21.55,19,4.3,26.8 χμ ΑΒΑ της Ανδραβίδας
﻿2011/08/20 02:00:23,37.94,21.68,25,4.9,34.2 χμ Ν της Πάτρας
﻿2009/01/10 22:26:23,38.02,21.54,18,4.4,27.4 χμ ΑΒΑ της Ανδραβίδας
﻿2008/07/05 10:34:08,38.07,21.55,17,4.3,25.2 χμ ΝΔ της Πάτρας
﻿2008/06/27 05:18:56,38.02,21.55,14,4.2,28.2 χμ ΑΒΑ της Ανδραβίδας
﻿2008/06/09 13:53:21,38.02,21.52,19,4.0,25.9 χμ ΑΒΑ της Ανδραβίδας
﻿2008/06/09 01:32:03,38.06,21.51,20,4.0,27.8 χμ ΒΑ της Ανδραβίδας
﻿2008/06/08 12:43:38,37.98,21.60,15,4.1,30.6 χμ ΑΒΑ της Ανδραβίδας
﻿2008/06/08 12:25:27,37.98,21.51,25,6.5,23.1 χμ ΑΒΑ της Ανδραβίδας
﻿2003/06/12 23:43:59,38.12,21.68,5,4.2,14.6 χμ ΝΝΔ της Πάτρας
﻿1993/07/14 12:39:11,38.08,21.44,5,4.4,25.1 χμ ΒΑ της Ανδραβίδας
﻿1992/11/11 19:45:09,38.02,21.38,1,4.1,16.6 χμ ΒΑ της Ανδραβίδας
﻿1992/05/30 18:55:39,37.97,21.42,12,4.6,15.5 χμ ΑΒΑ της Ανδραβίδας
﻿1991/12/22 05:38:45,38.00,21.57,16,4.0,28.8 χμ ΑΒΑ της Ανδραβίδας
﻿1989/06/07 19:45:52,37.99,21.65,1,4.8,29.2 χμ ΝΝΔ της Πάτρας
﻿1984/02/28 18:12:07,38.24,21.64,20,4.0,8.3 χμ Δ της Πάτρας
