﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2020/08/17 07:27:03,36.90,23.73,90,5.2,69.2 χμ ΔΒΔ της Μήλου
﻿2019/11/23 03:43:32,37.01,23.16,17,4.0,32.3 χμ ΑΝΑ του Λεωνιδίου
﻿2019/11/17 17:14:24,36.99,23.12,28,4.1,30.6 χμ ΝΑ του Λεωνιδίου
﻿2019/11/15 18:15:13,37.18,23.90,13,4.1,51.0 χμ Δ της Σερίφου
﻿2018/01/28 14:48:34,37.18,23.78,23,4.2,61.8 χμ Δ της Σερίφου
﻿2017/06/16 23:42:45,36.81,23.02,59,4.8,42.5 χμ ΝΝΑ του Λεωνιδίου
﻿2014/04/04 20:08:07,37.20,23.73,113,5.5,66.2 χμ Δ της Σερίφου
﻿2013/04/24 20:12:35,36.75,22.97,22,4.1,47.7 χμ ΝΝΑ του Λεωνιδίου
﻿2012/12/06 17:48:15,36.93,23.08,20,4.3,33.2 χμ ΝΑ του Λεωνιδίου
﻿2012/12/04 18:59:42,36.92,23.08,25,4.3,34.1 χμ ΝΑ του Λεωνιδίου
﻿2012/09/12 05:00:23,36.92,24.23,23,4.2,33.4 χμ ΒΔ της Μήλου
﻿2010/12/17 09:37:47,36.94,24.00,106,5.1,48.7 χμ ΔΝΔ της Σερίφου
﻿2008/09/18 07:02:56,37.11,23.72,26,4.0,67.2 χμ Δ της Σερίφου
﻿2007/05/04 15:31:28,37.16,23.05,21,4.0,17.3 χμ Α του Λεωνιδίου
﻿2005/06/12 07:34:52,36.87,23.71,85,4.0,69.2 χμ ΔΒΔ της Μήλου
﻿2002/06/28 19:23:25,36.73,23.22,79,4.1,56.2 χμ ΒΒΑ των Κυθήρων
﻿2000/11/26 21:11:36,37.03,23.09,5,4.1,25.9 χμ ΝΑ του Λεωνιδίου
﻿2000/09/28 14:35:20,37.03,23.20,2,4.1,34.2 χμ ΑΝΑ του Λεωνιδίου
﻿1996/12/13 16:52:34,37.02,23.76,2,4.0,65.3 χμ ΔΝΔ της Σερίφου
﻿1996/01/14 02:02:33,37.23,23.27,96,4.4,37.4 χμ Α του Λεωνιδίου
﻿1989/08/06 11:53:05,37.13,23.10,1,4.1,22.1 χμ Α του Λεωνιδίου
﻿1989/05/19 18:00:39,36.96,23.11,110,4.0,32.4 χμ ΝΑ του Λεωνιδίου
﻿1985/08/28 00:33:41,37.18,23.40,75,4.1,48.3 χμ Α του Λεωνιδίου
﻿1985/08/09 08:08:36,37.03,23.10,13,4.2,26.6 χμ ΝΑ του Λεωνιδίου
﻿1984/10/10 21:11:21,36.96,23.60,81,4.2,70.0 χμ ΑΝΑ του Λεωνιδίου
﻿1982/07/26 17:17:08,36.90,23.80,10,4.1,62.9 χμ ΔΒΔ της Μήλου
﻿1980/04/28 17:19:34,37.10,24.00,160,4.0,42.6 χμ Δ της Σερίφου
﻿1979/10/12 19:29:20,36.80,23.20,10,4.0,51.2 χμ ΝΑ του Λεωνιδίου
﻿1978/04/08 06:22:23,37.00,23.30,33,4.2,43.7 χμ ΑΝΑ του Λεωνιδίου
﻿1975/01/26 05:30:52,36.80,24.30,10,4.1,19.1 χμ ΒΔ της Μήλου
﻿1972/02/28 10:52:44,37.10,24.20,10,4.4,25.3 χμ ΔΝΔ της Σερίφου
﻿1972/02/16 00:42:21,37.20,24.40,10,4.0,8.0 χμ ΒΔ της Σερίφου
﻿1972/02/13 13:07:06,37.10,24.40,10,4.1,9.4 χμ ΝΔ της Σερίφου
﻿1971/12/18 02:33:26,36.80,23.20,10,4.0,51.2 χμ ΝΑ του Λεωνιδίου
﻿1971/09/29 21:02:30,37.20,23.20,10,4.4,30.7 χμ Α του Λεωνιδίου
﻿1971/08/11 05:37:29,36.90,23.90,10,4.3,54.8 χμ ΔΒΔ της Μήλου
﻿1969/12/20 17:40:39,36.75,23.50,50,4.4,70.2 χμ ΒΑ των Κυθήρων
