﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿﻿2014/05/24 11:33:07,40.31,25.63,29,4.0,20.3 χμ ΝΝΑ της Σαμοθράκης
﻿2013/07/30 05:33:08,40.30,25.75,28,4.6,27.3 χμ ΝΑ της Σαμοθράκης
﻿2010/12/26 05:08:19,40.33,25.85,28,4.1,32.0 χμ ΑΝΑ της Σαμοθράκης
﻿2008/12/28 22:58:59,40.39,25.78,35,4.8,23.7 χμ ΑΝΑ της Σαμοθράκης
﻿2006/02/21 02:20:08,40.44,25.85,28,4.1,28.0 χμ Α της Σαμοθράκης
﻿2004/06/27 22:37:18,40.80,25.81,9,4.0,7.6 χμ ΝΔ της Αλεξανδρούπολης
﻿2004/06/27 15:31:46,40.80,25.86,5,4.3,5.4 χμ ΝΝΔ της Αλεξανδρούπολης
﻿2004/06/15 12:02:38,40.34,25.77,21,4.5,25.7 χμ ΝΑ της Σαμοθράκης
﻿2003/07/09 22:31:40,40.38,25.84,29,4.6,28.8 χμ ΑΝΑ της Σαμοθράκης
﻿2003/07/06 22:42:08,40.31,25.84,16,4.3,32.5 χμ ΝΑ της Σαμοθράκης
﻿2003/06/10 01:01:51,40.24,25.64,26,4.1,27.8 χμ ΝΝΑ της Σαμοθράκης
﻿2002/03/05 05:23:44,40.71,25.61,21,4.3,27.0 χμ ΝΔ της Αλεξανδρούπολης
﻿2000/07/05 23:20:40,40.32,25.76,5,4.2,26.4 χμ ΝΑ της Σαμοθράκης
﻿1999/09/09 08:15:34,40.34,25.79,5,4.6,27.1 χμ ΑΝΑ της Σαμοθράκης
﻿1996/03/22 15:28:32,40.28,25.81,19,4.1,32.5 χμ ΝΑ της Σαμοθράκης
﻿1994/07/20 15:56:37,40.26,25.49,5,4.1,23.9 χμ Ν της Σαμοθράκης
﻿1991/10/12 16:32:39,40.21,25.62,25,4.4,30.4 χμ ΝΝΑ της Σαμοθράκης
﻿1988/05/30 16:47:00,40.40,25.78,1,4.4,23.3 χμ ΑΝΑ της Σαμοθράκης
﻿1984/06/23 21:10:58,40.74,25.72,30,4.0,17.7 χμ ΝΔ της Αλεξανδρούπολης
﻿1983/12/18 05:00:11,40.49,25.42,17,4.1,8.8 χμ ΔΒΔ της Σαμοθράκης
﻿1983/10/11 05:14:00,40.69,25.77,42,4.0,19.6 χμ ΝΝΔ της Αλεξανδρούπολης
﻿1983/10/11 05:08:18,40.66,25.68,18,4.2,24.7 χμ ΒΒΑ της Σαμοθράκης
﻿1983/10/10 10:16:57,40.44,25.43,8,5.4,8.6 χμ ΔΝΔ της Σαμοθράκης
﻿1983/08/08 08:09:29,40.39,25.51,5,5.1,9.3 χμ Ν της Σαμοθράκης
﻿1982/11/14 09:08:28,40.84,25.85,41,4.1,2.2 χμ ΔΝΔ της Αλεξανδρούπολης
﻿1978/10/21 05:12:14,40.90,25.60,33,4.0,23.8 χμ ΔΒΔ της Αλεξανδρούπολης
﻿1978/09/16 22:31:07,40.40,25.70,33,4.0,17.1 χμ ΑΝΑ της Σαμοθράκης
﻿1977/11/06 02:48:58,40.80,25.50,10,4.1,31.9 χμ Δ της Αλεξανδρούπολης
﻿1976/02/02 13:37:56,40.20,25.80,10,4.0,38.4 χμ ΝΑ της Σαμοθράκης
﻿1972/12/30 15:21:01,40.40,25.80,10,4.2,24.9 χμ ΑΝΑ της Σαμοθράκης
﻿1972/04/15 15:41:22,40.40,25.60,10,4.0,10.5 χμ ΝΑ της Σαμοθράκης
