﻿Origin Time,Latitude,Longitude,Depth (km),Magnitude (ML),Location
﻿1968/11/08 15:26:50,39.70,25.40,10,4.0,27.3 χμ ΝΝΑ της Λήμνου
﻿1968/04/05 15:54:32,39.60,25.40,10,4.2,37.5 χμ ΝΝΑ της Λήμνου
﻿1968/03/23 17:25:54,39.30,25.50,10,4.5,66.3 χμ ΔΒΔ της Μυτιλήνης
﻿1968/03/21 16:09:20,39.70,25.30,10,4.4,24.5 χμ Ν της Λήμνου
﻿1968/03/11 17:32:45,39.70,25.60,10,4.2,38.4 χμ ΝΑ της Λήμνου
﻿1968/02/29 11:45:42,39.50,25.20,10,4.2,46.5 χμ Ν της Λήμνου
﻿1968/02/22 02:16:40,39.30,25.30,10,4.6,68.7 χμ Ν της Λήμνου
﻿1968/02/21 13:35:55,39.50,25.75,10,4.3,56.8 χμ ΒΔ της Μυτιλήνης
﻿1968/02/21 13:22:29,39.50,25.25,10,4.1,46.3 χμ Ν της Λήμνου
﻿1968/02/21 12:35:56,39.20,25.20,10,4.1,64.1 χμ ΑΒΑ της Σκύρου
﻿1968/02/21 12:29:54,39.70,25.60,10,4.3,38.4 χμ ΝΑ της Λήμνου
﻿1968/02/20 06:15:41,39.20,25.20,10,4.4,64.1 χμ ΑΒΑ της Σκύρου
﻿1968/02/20 02:21:52,39.30,25.60,10,4.6,57.9 χμ ΔΒΔ της Μυτιλήνης
﻿1968/02/20 00:39:11,39.50,25.25,10,4.5,46.3 χμ Ν της Λήμνου
﻿1965/11/02 03:27:08,39.30,25.30,10,5.2,68.7 χμ Ν της Λήμνου
﻿1965/10/04 12:54:55,39.60,26.50,10,4.1,52.8 χμ ΒΒΑ της Μυτιλήνης
﻿1964/04/11 16:00:00,39.75,25.25,10,5.7,18.5 χμ Ν της Λήμνου
